Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09,67,28,7.9,71,T
Madden NFL 2002,PS2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08,94,23,7.9,46,E
World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,,,,,
Donkey Kong,G,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07,,,,,
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,1.21,0,0.14,3.07,75,18,7.8,22,T
LEGO Batman: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,1.8,0.98,0,0.29,3.07,74,17,7.9,22,E10+
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0,0.29,3.05,72,16,8,16,E10+
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.88,0.04,0.25,3.05,89,59,8.2,895,M
Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0,0.29,3.05,75,42,7.4,32,E10+
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.94,0.84,0.03,0.24,3.04,93,74,5.8,3733,M
Saints Row 2,X360,2008,Action,THQ,1.95,0.79,0.02,0.28,3.04,81,75,8.1,310,M
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.29,1.21,0.06,0.47,3.03,87,107,7.7,2775,M
Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03,,,,,
Tom Clancys Splinter Cell,X,2002,Action,Ubisoft,1.85,1.04,0,0.13,3.02,93,46,8.5,121,T
FIFA 14,PS4,2013,Sports,Electronic Arts,0.62,1.85,0.12,0.44,3.02,87,26,6.3,619,E
Mike Tysons Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02,,,,,
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,1.45,1.13,0.07,0.38,3.02,,,,,
NBA 2K13,X360,2012,Sports,Take-Two Interactive,2.61,0.2,0.01,0.19,3.01,88,41,7.3,132,E
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.4,1.06,0.08,0.47,3.01,91,94,8.1,1509,M
Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.01,91,39,8.6,1259,M
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.04,0.63,0.12,0.22,3,73,78,7,131,E
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0,0.76,1.09,3,73,24,9.2,176,T
wwe Smackdown vs. Raw 2006,PS2,2005,Fighting,THQ,1.57,1.02,0,0.41,3,,,,,
Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99,,,,,
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99,82,23,6.6,20,T
World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99,93,24,9.1,65,E
Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99,94,37,8.5,467,M
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.02,1.43,0.05,0.47,2.97,84,85,8.1,1907,M
Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.59,1.01,0,0.38,2.97,85,73,5.9,2755,T
Titanfall,XOne,2014,Shooter,Electronic Arts,1.85,0.8,0.04,0.27,2.96,86,68,6.4,2661,M
Sonic Heroes,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96,64,29,7.8,94,E
Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96,85,19,7.8,78,M
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.1,0.08,0.44,2.95,88,59,8.5,573,M
Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,,,,,
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94,87,42,9,93,M
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94,,,,,
Street Fighter IV,X360,2009,Fighting,Capcom,1.83,0.7,0.15,0.26,2.94,93,77,7.3,292,T
Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94,79,13,7.8,4,E
inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.68,0.12,0.37,2.93,85,98,8.3,1176,T
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.88,0.77,0,0.27,2.93,78,7,4.3,702,M
FIFA 15,X360,2014,Sports,Electronic Arts,0.79,1.92,0,0.21,2.92,,,4.2,85,E
Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.55,0.04,1.19,0.15,2.92,76,40,8.8,77,E
Super Mario World 2: Yoshis Island,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91,,,,,
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.79,0.03,0.27,2.91,91,74,8.7,1702,M
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0,0.22,2.9,73,21,8.6,30,E
World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9,93,28,9,45,E
Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0,0.28,2.89,67,45,6.8,19,E10+
Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89,85,30,8.9,16,E
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89,61,37,5.3,23,E
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89,83,61,7.4,180,E10+
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89,76,49,7.7,70,T
Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88,90,19,8.7,84,T
Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.26,0,0.31,2.87,,,7.7,15,E
Colin McRae Rally,PS,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87,,,,,
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.55,0.82,0,0.5,2.86,83,81,7.7,845,M
Madden NFL 13,X360,2012,Sports,Electronic Arts,2.53,0.15,0,0.17,2.86,81,36,5.8,179,E
The Elder Scrolls III: Morrowind,X,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86,87,34,8.7,112,T
Assassins Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1553,M
Yoshis Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85,,,,,
F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,,,,,
Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85,,,,,
Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.53,0,0.34,2.85,84,60,8.4,496,M
Madden NFL 10,X360,2009,Sports,Electronic Arts,2.52,0.09,0,0.22,2.83,85,58,6.1,90,E
WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,1.32,1.08,0.04,0.39,2.83,,,,,
BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.85,0.05,0.28,2.83,96,88,8.9,2256,M
Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82,97,70,9.3,754,T
Assassins Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,90,59,8.2,800,M
Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82,,,7,8,E
Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.51,1.04,0,0.27,2.82,,,,,T
Myst,PC,1994,Adventure,Red Or,0.02,2.79,0,0,2.81,,,,,
Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.28,1.04,0.07,0.42,2.81,75,56,7.5,285,M
Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.46,0.06,0.58,2.81,,,,,
Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0,0.3,2.8,,,7.6,7,E
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.29,0.98,0.07,0.46,2.8,80,90,7.9,2954,T
WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,1.32,1.06,0.04,0.38,2.8,,,,,
Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79,,,,,
A Bugs Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79,,,,,
WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,1.19,1.15,0.04,0.41,2.79,,,,,
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0,0,2.78,0.01,2.79,,,,,
Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79,,,,,
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79,,,,,
NBA Street,PS2,2001,Sports,Electronic Arts,2.19,0.22,0,0.38,2.79,89,22,8.6,39,E
Jak II,PS2,2003,Platform,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78,87,47,8.2,241,T
Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78,,,,,
Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1.46,0.86,0.09,0.38,2.78,84,85,7.9,945,M
Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,1.05,1.23,0.03,0.47,2.78,89,59,7.2,301,E10+
Skylanders: Spyros Adventure,Wii,2011,Action,Activision,1.35,1.13,0,0.3,2.78,81,11,5.6,31,E10+
Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0,0.46,2.78,89,61,7.5,4942,M
The Sims,PS2,2003,Simulation,Electronic Arts,1.41,1.12,0,0.24,2.77,83,33,7.7,46,T
Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.74,0.77,0,0.26,2.77,73,74,6.7,390,T
Saints Row: The Third,X360,2011,Action,THQ,1.25,1.14,0.07,0.3,2.77,84,70,7.6,492,M
Yoshis Island DS,DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,81,42,7.4,67,E
Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,,,,,
Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75,,,,,
Tekken 6,PS3,2009,Fighting,Namco Bandai Games,1.2,0.97,0.17,0.42,2.75,79,63,7.4,214,T
Pok\xc3\xa9mon Stadium 2,N64,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73,,,,,
Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.21,1.19,0.04,0.29,2.73,69,44,6.6,177,E
Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,,,,,
FIFA 16,PS3,2015,Sports,Electronic Arts,0.42,1.84,0.05,0.4,2.72,,,3.1,59,E
L.A. Noire,X360,2011,Adventure,Take-Two Interactive,1.53,0.92,0.02,0.24,2.7,89,83,7.8,895,M
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,95,30,9.1,314,E
Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7,86,23,8.2,56,M
Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7,,,,,
Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.92,0.02,0.27,2.7,82,71,6.5,233,T
Madden NFL 12,X360,2011,Sports,Electronic Arts,2.42,0.11,0,0.16,2.7,78,55,5.9,94,E
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,84,32,9,43,E10+
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.34,0.08,0.39,2.69,73,88,6.8,2113,M
Madden NFL 11,X360,2010,Sports,Electronic Arts,2.38,0.12,0,0.18,2.69,84,47,5.7,120,E
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0,0,2.68,0,2.68,,,,,
Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68,93,52,9.1,272,T
Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.28,1.39,0.68,0.33,2.67,83,58,8.6,53,E10+
Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0,0.09,2.67,,,,,
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.63,0.51,0.35,0.18,2.67,79,51,7.7,18,E
Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,1.48,0.92,0.01,0.26,2.67,77,39,8.2,70,T
Medal of Honor,PS,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67,92,17,8.6,81,T
Skate 3,X360,2010,Sports,Electronic Arts,1.47,0.95,0,0.24,2.66,80,65,8,128,T
Fable,X,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0,0.09,2.66,85,87,8.5,270,M
Guitar Hero: World Tour,X360,2008,Misc,Activision,1.78,0.63,0,0.25,2.66,85,67,6.3,172,T
Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65,,,6.7,10,E
Tom Clancys Splinter Cell,PS2,2003,Action,Ubisoft,1.15,1.11,0,0.4,2.65,89,24,7.7,103,T
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0,0,2.65,0,2.65,,,,,
Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,0.69,1.4,0.04,0.52,2.65,84,55,6.9,114,E
Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2,0.5,0.12,0.03,2.65,,,,,
Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65,71,24,7.9,47,T
Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,0.78,0.73,0.89,0.23,2.63,79,53,6.6,713,T
Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63,78,18,7.8,21,T
Halo Wars,X360,2009,Strategy,Microsoft Game Studios,1.55,0.8,0.04,0.25,2.63,82,92,7.2,457,T
NBA 2K12,X360,2011,Sports,Take-Two Interactive,2.32,0.14,0.01,0.16,2.63,90,42,7.7,134,E
ESPN NFL 2K5,PS2,2004,Sports,Sega,2.15,0.12,0,0.36,2.62,90,37,8.2,84,E
FIFA Soccer 10,X360,2009,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62,90,63,7.5,133,E
Medal of Honor,X360,2010,Shooter,Electronic Arts,1.56,0.8,0.04,0.21,2.62,74,71,6.7,288,M
Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,0.76,1.09,0.12,0.64,2.62,,,,,
Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61,71,16,7.5,50,E
Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6,,,,,
God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1.7,0.44,0.06,0.4,2.6,91,50,8.7,531,M
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.82,0,0.24,2.59,80,24,7.4,116,E10+
NBA Live 2005,PS2,2004,Sports,Electronic Arts,2.03,0.21,0,0.35,2.59,84,21,8.1,44,E
FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.49,1.63,0.04,0.43,2.59,87,42,7.5,108,E
Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.05,1.05,0.24,0.24,2.58,79,47,8,124,E10+
Style Savvy,DS,2008,Simulation,Nintendo,0.62,0.82,0.96,0.18,2.58,73,4,7.7,7,E
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1.01,0.52,0.92,0.14,2.58,,,,,
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,1.4,0.88,0.03,0.26,2.58,80,27,8.6,57,T
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.08,0.84,0.26,0.39,2.58,92,100,8.6,6432,M
Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment,1.31,0.74,0.31,0.22,2.57,,,,,
Madden NFL 08,PS2,2007,Sports,Electronic Arts,2.14,0.08,0,0.35,2.57,78,11,7.8,17,E
Overwatch,PS4,2016,Shooter,Activision,0.99,1.03,0.16,0.4,2.57,90,31,6.1,1408,T
Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57,72,38,8.7,83,T
Madden NFL 13,PS3,2012,Sports,Electronic Arts,2.12,0.22,0,0.23,2.57,83,22,5.5,101,E
Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,1.05,1.22,0.03,0.27,2.57,,,,,
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,0.93,1.1,0.08,0.45,2.56,,,,,
Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56,73,28,8.3,181,E
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0,2.41,0,2.56,,,,,
Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1.76,0.55,0.03,0.22,2.56,86,68,7.9,726,M
LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,0.64,1.22,0.01,0.67,2.55,87,68,7.8,98,E10+
Pok\xc3\xa9mon Colosseum,GC,2003,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54,73,37,8,92,E
Madden NFL 09,X360,2008,Sports,Electronic Arts,2.21,0.12,0,0.2,2.53,83,50,7,125,E
Space Invaders,2600,1978,Shooter,Atari,2.36,0.14,0,0.03,2.53,,,,,
Skylanders Giants,Wii,2012,Action,Activision,1.49,0.83,0,0.21,2.53,78,8,7,20,E10+
NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.1,0.19,0,0.23,2.52,87,23,4.9,150,E
Art Academy,DS,2010,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52,75,15,8,5,E
Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.52,80,15,7.8,48,T
Perfect Dark,N64,2000,Action,Nintendo,1.55,0.75,0.16,0.06,2.52,,,,,
Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0,0.52,1.51,2.52,,,,,
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.52,1.55,0.05,0.38,2.51,,,,,
Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50,23,5.4,16,E
PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5,,,,,
Mario Party 2,N64,1999,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5,,,,,
Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2.29,0.02,0,0.19,2.5,82,68,7.5,123,T
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,X,2003,Action,Take-Two Interactive,1.84,0.56,0,0.09,2.49,,,,,
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,1.81,0.52,0,0.15,2.49,79,31,8.8,96,M
Game Party,Wii,2007,Misc,Midway Games,1.47,0.77,0,0.24,2.48,25,8,4.3,26,E
Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48,,,,,
Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47,70,26,7.5,76,E
Pure,X360,2008,Racing,Disney Interactive Studios,1.38,0.84,0,0.25,2.47,85,55,7.7,84,E
Rock Band,X360,2007,Misc,Electronic Arts,1.93,0.33,0,0.21,2.47,92,72,8.2,178,T
NBA 2K13,PS3,2012,Sports,Take-Two Interactive,1.73,0.43,0.05,0.27,2.47,90,26,8,100,E
Saints Row: The Third,PS3,2011,Action,THQ,0.86,1.04,0.18,0.38,2.47,82,50,7.7,386,M
Resistance 2,PS3,2008,Shooter,Sony Computer Entertainment,1.15,0.84,0.1,0.38,2.47,87,79,6.1,1890,M
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.46,83,50,6.9,294,E
Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.56,0.53,0.05,0.31,2.46,82,50,8.2,102,T
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45,83,12,8.2,190,T
Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,0,0,2.43,0.02,2.45,,,,,
Twisted Metal 2,PS,1996,Racing,Sony Computer Entertainment,2.12,0.25,0,0.07,2.44,,,,,
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.28,0.93,0,0.22,2.43,79,13,8,34,E10+
The Sims: Bustin Out,PS2,2003,Simulation,Electronic Arts,1.07,1.19,0,0.18,2.43,81,26,8.4,42,T
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.09,0.08,0,0.26,2.43,84,23,6.1,125,E
Riven: The Sequel to Myst,PC,1997,Adventure,Red Or,1.52,0.82,0,0.1,2.43,83,12,,,E
uDraw Studio,Wii,2010,Misc,THQ,1.65,0.57,0,0.2,2.42,71,9,,,E
Sonic Adventure,DC,1998,Platform,Sega,1.26,0.61,0.46,0.08,2.42,,,,,
Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,,,,,
Tom Clancys Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,1.56,0.6,0.02,0.23,2.42,82,66,7.8,176,M
Tomb Raider (2013),PS3,2013,Action,Square Enix,0.6,1.26,0.08,0.48,2.42,,,,,
Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,0.87,0.97,0,0.58,2.42,73,14,7.9,39,E10+
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,1.63,0.22,0.51,0.06,2.41,66,28,8.2,92,T
pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.29,1.17,0.54,0.41,2.41,77,40,6.8,85,E
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41,82,16,8.4,53,E
Dino Crisis,PS,1998,Action,Capcom,0.81,0.76,0.7,0.14,2.41,,,,,
Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,0.69,0,0.04,1.68,2.41,62,11,6.2,34,E10+
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.7,0.04,0.22,2.4,82,73,8.1,488,M
Tetris Plus,PS,1996,Puzzle,JVC,2.1,0.24,0,0.07,2.4,,,,,
Pro Wrestling,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,,,,,
Theme Hospital,PC,1997,Strategy,Electronic Arts,2.3,0.1,0,0,2.4,,,9,92,K-A
Froggers Adventures: Temple of the Frog,GBA,2001,Adventure,Konami Digital Entertainment,2.15,0.18,0,0.07,2.39,73,4,,,E
Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.05,0.15,0,0.2,2.39,83,36,6.1,68,E
Monopoly,PC,1994,Misc,Hasbro Interactive,1.49,0.81,0,0.1,2.39,,,,,
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.57,0.37,0.02,0.43,2.39,88,47,6.6,174,E
Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,91,65,8.7,173,T
WCW/nWo Revenge,N64,1998,Fighting,THQ,1.94,0.39,0.03,0.02,2.38,,,,,
The Legend of Zelda: Majoras Mask 3D,3DS,2015,Action,Nintendo,1.16,0.57,0.47,0.17,2.38,89,82,9,483,E10+
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648,M
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,1.16,0.91,0,0.3,2.38,,,,,
Dead Island,X360,2011,Action,Deep Silver,1.48,0.69,0,0.2,2.37,71,75,6.9,632,M
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0,2.37,96,81,9.2,8702,M
The Incredibles,PS2,2004,Action,THQ,0.96,1.08,0.04,0.3,2.37,62,36,7.6,22,T
Zumba Fitness,X360,2010,Sports,505 Games,1.74,0.45,0,0.18,2.37,42,10,5.5,16,E
Madden NFL 08,X360,2007,Sports,Electronic Arts,2.18,0.01,0,0.18,2.37,85,46,6.4,109,E
Tony Hawks Underground 2,PS2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37,83,59,8.8,55,T
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.98,0.15,0,0.25,2.37,86,14,6.2,117,E10+
Madden NFL 10,PS3,2009,Sports,Electronic Arts,2.03,0.13,0,0.21,2.37,85,41,6.8,58,E
Kirbys Dream Land 2,G,1995,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,,,,,
Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.69,0.45,0.01,0.21,2.36,81,66,8.5,142,T
Donkey Kong Land II,G,1996,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,,,,,
Dragon Warrior Monsters,G,1998,Role-Playing,Eidos Interactive,0,0,2.34,0.01,2.35,,,,,
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1.73,0.43,0.02,0.17,2.35,73,33,2.9,67,E10+
Guild Wars 2,PC,2012,Action,NCSoft,0.97,1.09,0,0.28,2.34,90,69,7.9,2958,T
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,0.92,0,0.01,1.41,2.34,71,11,7.2,31,T
LEGO Indiana Jones: The Original Adventures,Wii,2008,Action,LucasArts,1.51,0.61,0,0.21,2.34,78,22,6.6,28,E10+
Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1.08,0.7,0.34,0.21,2.34,84,21,8.4,191,M
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1.38,0.72,0.02,0.22,2.34,66,46,6.5,39,E
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.43,0.64,0.14,2.33,75,69,5.6,385,E
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.65,0.25,0,0.43,2.33,82,35,4.6,93,E
My Fitness Coach,Wii,2008,Sports,Ubisoft,1.18,0.9,0,0.24,2.32,,,8.6,16,E
Mario Tennis,N64,2000,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32,,,,,
Grand Theft Auto,PS,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32,,,,,
